species,NODC,dup_species
Diplocirrus,5001540400,FALSE
Diplocirrus glaucus,5001540403,FALSE
Scalibregma inflatum,5001570101,FALSE
Opheliidae,5001580000,FALSE
Ophelia,5001580300,FALSE
Ophelia limacina,5001580301,FALSE
Ophelia bicornis,5001580303,FALSE
Ophelia acuminata,5001580306,FALSE
Ophelina,5001580600,FALSE
Sternaspidae,5001590000,FALSE
Sternaspis,5001590100,FALSE
Sternaspis scutata,5001590101,FALSE
Capitellidae,5001600000,FALSE
Capitella,5001600100,FALSE
Capitella capitata,5001600101,FALSE
Heteromastus,5001600200,FALSE
Heteromastus filiformis,5001600201,FALSE
Notomastus,5001600300,FALSE
Notomastus latericeus,5001600306,FALSE
Arenicolidae,5001620000,FALSE
Arenicola,5001620200,FALSE
Arenicola marina,5001620203,FALSE
Maldanidae,5001630000,FALSE
Maldane,5001630300,FALSE
Maldane sarsi,5001630301,FALSE
Nicomache,5001630500,FALSE
Nicomache lumbricalis,5001630501,FALSE
Owenidae,5001640000,FALSE
Owenia,5001640100,FALSE
Owenia fusiformis,5001640102,FALSE
Myriochele,5001640200,FALSE
Sabellariidae,5001650000,FALSE
Sabellaria,5001650200,FALSE
Sabellaria alveolata,5001650204,FALSE
Pectinariidae,5001660000,FALSE
Pectinaria,5001660300,FALSE
Pectinaria koreni,5001660304,FALSE
Ampharetidae,5001670000,FALSE
Amphicteis,5001670300,FALSE
Amphicteis gunneri,5001670303,FALSE
Pectinaria,5001671700,TRUE
Pectinaria koreni,5001671701,TRUE
Terebellidae,5001680000,FALSE
Amphitrite,5001680100,FALSE
Amphitrite johnstoni,5001680104,FALSE
Amphitrite gracilis,5001680105,FALSE
Eupolymnia,5001680200,FALSE
Eupolymnia nebulosa,5001680205,FALSE
Lanice,5001682000,FALSE
Lanice conchilega,5001682701,FALSE
Trichobranchidae,5001690000,FALSE
Terebellides,5001690100,FALSE
Terebellides stroemii,5001690101,FALSE
Sabellidae,5001700000,FALSE
Serpulidae,5001730000,FALSE
Spirorbis,5001730500,FALSE
Mercierella,5001731000,FALSE
Mercierella enigmatica,5001731001,FALSE
Protula tubularia,5001731101,FALSE
Hirudinea,5012000000,FALSE
Mollusca,5085000000,FALSE
Gastropoda,5100000000,FALSE
Archaeogastropoda,5102000000,FALSE
Fissurellidae,5102040000,FALSE
Diodora,5102040400,FALSE
Diodora apertura,5102040404,FALSE
Acmaeidae,5102050000,FALSE
Acmaea,5102050100,FALSE
Acmaea virginea,5102050109,FALSE
Patellidae,5102060000,FALSE
Patella,5102060100,FALSE
Patella vulgata,5102060101,FALSE
Patella depressa,5102060102,FALSE
Patella athletica,5102060103,FALSE
Helcion,5102060200,FALSE
Helcion pellucidum,5102060201,FALSE
Trochidae,5102100000,FALSE
Calliostoma,5102100100,FALSE
Calliostoma zizyphinum,5102100105,FALSE
Cantharidus,5102100800,FALSE
Cantharidus exasperatus,5102100801,FALSE
Cantharidas striatus,5102100802,FALSE
Gibbula,5102100900,FALSE
Gibbula magus,5102100901,FALSE
Gibbula pennanti,5102100902,FALSE
Gibbula tumida,5102100903,FALSE
Gibbula cineraria,5102100904,FALSE
Gibbula umbilicalis,5102100905,FALSE
Turbinidae,5102120000,FALSE
Phasianella,5102120300,FALSE
Phasianella pullus,5102120301,FALSE
Mesogastropoda,5103000000,FALSE
Lacunidae,5103090000,FALSE
Lacuna,5103090300,FALSE
Lacuna crassior,5103090303,FALSE
Lacuna vincta,5103090305,FALSE
Lacuna parva,5103090306,FALSE
Lacuna pallidula,5103090307,FALSE
Littorinidae,5103100000,FALSE
Littorina,5103100100,FALSE
Littorina saxatilis,5103100105,FALSE
Littorina littorea,5103100108,FALSE
Littorina obtusata,5103100109,FALSE
Littorina,5103100110,TRUE
Littorina neritoides,5103100111,FALSE
Hydrobiidae,5103130000,FALSE
Hydrobia,5103130100,FALSE
Hydrobia stagnorum,5103130103,FALSE
Hydrobia ulvae,5103130104,FALSE
Truncatellidae,5103140000,FALSE
Truncatella,5103140200,FALSE
Truncatella subcylindrica,5103140201,FALSE
Rissoidae,5103200000,FALSE
Alvinia,5103200100,FALSE
Alvinia lactea,5103200117,FALSE
Alvinia punctura,5103200118,FALSE
Cingula,5103200300,FALSE
Cingula pulcherrima,5103200309,FALSE
Cingula semicostata,5103200310,FALSE
Cingula semistriata,5103200311,FALSE
Cingula cingillus,5103200312,FALSE
Bareeia,5103200400,FALSE
Bareeia unifasciata,5103200403,FALSE
Rissoa,5103200700,FALSE
Rissoa inconspicua,5103200701,FALSE
Rissoa parva,5103200702,FALSE
Rissoa guerini,5103200703,FALSE
Rissoa membranacea,5103200704,FALSE
Pseudosetia,5103200800,FALSE
Pseudosetia fulgida,5103200801,FALSE
Assimineidae,5103210000,FALSE
Assiminea,5103210100,FALSE
Assiminea grayana,5103210101,FALSE
Skeneopsidae,5103240000,FALSE
Skeneopsis,5103240100,FALSE
Skeneopsis planorbis,5103240102,FALSE
Omalogyridae,5103250000,FALSE
Ammonicera,5103250100,FALSE
Ammonicera rota,5103250101,FALSE
Rissoellidae,5103270000,FALSE
Rissoella,5103270100,FALSE
Rissoella diaphana,5103270101,FALSE
Turritellidae,5103330000,FALSE
Turritella,5103330400,FALSE
Turritella communis,5103330401,FALSE
Caecidae,5103360000,FALSE
Caecum,5103360300,FALSE
Caecum glabrum,5103360302,FALSE
Cerithiidae,5103460000,FALSE
Bittium,5103460100,FALSE
Bittium reticulatum,5103460105,FALSE
Epitoniidae,5103500000,FALSE
Epitonium,5103500100,FALSE
Epitonium clathrus,5103500112,FALSE
Epitonium turtonis,5103500113,FALSE
Epitonium clathratus,5103500114,FALSE
Aclididae,5103520000,FALSE
Graphis,5103520200,FALSE
Graphis albida,5103520201,FALSE
Eulimidae,5103530000,FALSE
Melanella,5103530100,FALSE
Melanella conoidea,5103530107,FALSE
Eulima,5103530300,FALSE
Bacis,5103530400,FALSE
Bacis alba,5103530401,FALSE
Aporrhaidae,5103570000,FALSE
Aporrhais,5103570100,FALSE
Aporrhais pespelicani,5103570102,FALSE
Capulidae,5103630000,FALSE
Capulus,5103630100,FALSE
Capulus ungaricus,5103630101,FALSE
Calyptraeidae,5103640000,FALSE
Calyptraea,5103640100,FALSE
Calyptraea chinensis,5103640102,FALSE
Crepidula,5103640200,FALSE
Crepidula fornicata,5103640204,FALSE
Lamellariidae,5103660000,FALSE
Lamellaria,5103660100,FALSE
